division,region,area,branch_name,ao_no,prg_no,no_disb,disbamt,no_overdue,overdue_amt,tot_out_amt,no_repeat_loan,repeat_loan_amt,no_new_loan,new_loan_amt,no_disb_less_10k,amt_disb_less_10k,no_disb_10k_20k,amt_disb_10k_20k,no_disb_10_1k_30k,amt_disb_10_1k_30k,no_disb_20_1k_30k,amt_disb_20_1k_30k,no_disb_30_1k_50k,amt_disb_30_1k_50k,no_disb_50_1k_80k,amt_disb_50_1k_80k,no_disb_80_1k_100k,amt_disb_80_1k_100k,no_disb_80_1k_100k_2,amt_disb_80_1k_100k_2,current_borr,no_curr_to_late,curr_to_late_amt,new_ad_member,branch_cate,branch_cate_2
North West,Naogaon-2,Patnitola,Patnitola,250,279,5416,257822000,791,10761650,59355323,83,4574000,46,1790000,0,0,15,260000,38,985000,26,755000,49,2239000,0,0,8,800000,8,800000,2160,30,582824,49,1,NULL
North West,Sirajgonj-1,Kazipur,Kazipur,5648,279,5294,208847000,304,3582672,47990035,62,3255000,36,1533000,1,8000,13,230000,30,780000,20,580000,35,1640000,0,0,6,600000,6,600000,1821,6,182175,37,3,NULL
North West,Sirajgonj-1,Roygonj,Roygonj,956,279,4852,175524000,253,2798172,38243565,74,3694000,47,1720000,0,0,25,440000,42,1000000,21,600000,48,2175000,0,0,8,790000,8,790000,1632,11,174451,44,3,NULL
North West,Sirajgonj-1,Sirajgonj Sadar,Sirajgonj Sadar,520,279,4892,177038135,452,4542432,39658645,66,3431000,40,1285000,0,0,17,271000,36,916000,24,695000,39,1780000,0,0,7,700000,7,700000,1878,18,228385,44,1,NULL
North West,Sirajgonj-1,Solanga,Salanga,5654,279,4472,157271000,237,2593673,38359080,75,3230000,40,1430000,0,0,26,470000,56,1395000,32,945000,36,1615000,0,0,5,500000,5,500000,1599,8,152394,49,3,NULL
North West,Sirajgonj-1,Tarash,Tarash,955,279,5508,211705580,360,4018566,53822832,125,5650000,41,1292000,0,0,32,555000,79,1962000,51,1447000,43,1925000,0,0,5,490000,5,490000,2052,16,356676,30,3,NULL
North West,Sirajgonj-2,Shahjadpur-1,Shahjadpur,538,279,4717,241013564,379,5240839,48820557,76,4525672,32,1280000,2,13288,14,268000,34,842384,20,574384,34,1605000,0,0,10,1000000,10,1000000,1756,13,268287,35,1,NULL
North West,Sirajgonj-2,Ullapara,Ullapara,541,279,5416,213678000,399,4912040,50063872,85,4205000,37,1407000,2,10000,23,342000,35,887000,22,645000,38,1770000,0,0,9,900000,9,900000,1970,12,214510,35,2,NULL
South,Barguna,Amtoli,Amtoli,323,279,6326,281032769,822,8372896,74783481,128,7158919,71,2690000,0,0,12,206658,49,1326658,38,1130000,86,3860000,0,0,7,690000,7,690000,2608,12,239766,103,1,NULL
South,Barguna,Barguna,Barguna Sadar,322,279,6255,247197099,624,6300786,61765303,65,3394065,98,3880000,0,0,11,209065,47,1269065,36,1060000,90,3965000,0,0,3,290000,3,290000,2451,5,91891,118,2,NULL
South,Barguna,Bhandaria,Bhandaria,173,279,5225,198550831,520,4308916,49501505,51,2655000,44,1505000,0,0,18,345000,43,1090000,26,755000,31,1405000,0,0,6,580000,6,580000,2345,7,140442,57,2,NULL
South,Barguna,Bhandaria,Kathalia,1273,279,4519,191005066,522,5378993,49950235,65,3515000,25,1065000,0,0,11,190000,26,680000,18,520000,31,1465000,0,0,7,700000,7,700000,1862,8,119374,36,1,NULL
South,Barguna,Kalapara,Kalapara,331,279,6252,262163000,635,6614509,56827155,79,4707000,57,1640000,0,0,6,115000,67,1842000,61,1727000,37,1675000,0,0,8,770000,8,770000,2810,3,50307,65,1,NULL
South,Barguna,Patharghata,Patharghata,373,279,5347,219246774,483,4192198,54127040,79,4659000,63,2410000,0,0,18,319000,44,1124000,28,825000,56,2540000,0,0,15,1500000,15,1500000,2332,6,83270,76,3,NULL
South,Faridpur,Faridpur Sadar,Faridpur Sadar,479,279,5799,259524626,669,6521584,57904319,65,3771000,38,1680000,0,0,21,335000,31,750000,17,485000,31,1416000,0,0,11,1080000,11,1080000,2319,7,166718,58,1,NULL
South,Faridpur,Faridpur Sadar,Khalilpur,5737,279,5332,242389805,616,6038005,58768891,78,5057000,33,1327000,0,0,16,237000,23,549000,13,372000,40,1850000,0,0,3,300000,3,300000,2405,9,356297,38,2,NULL
South,Faridpur,Modhukhali,Kamarkhali,5698,279,4486,206419975,263,2362875,47768272,86,4480000,32,1835000,1,7000,17,238000,31,798000,22,640000,41,1910000,0,0,11,1100000,11,1100000,1627,2,17903,37,4,NULL
South,Faridpur,Modhukhali,Modhukhali Sadar,484,279,4557,212141408,458,4613247,48176096,74,4410000,20,825000,0,0,20,341000,38,905000,21,594000,14,630000,0,0,10,1000000,10,1000000,1684,4,120333,23,2,NULL
South,Faridpur,Nagarkanda,Nagarkanda,5630,279,5295,250453000,532,7534434,58684651,82,5610000,22,930000,0,0,13,225000,24,585000,13,380000,33,1540000,0,0,11,1100000,11,1100000,1949,9,208465,23,1,NULL
South,Faridpur,Nagarkanda,Talma,514,279,4490,241111574,384,5515391,56542424,83,5544438,18,840000,1,9246,17,290000,32,760000,17,490000,25,1186159,0,0,14,1390000,14,1390000,1592,5,132999,24,2,NULL
South,Faridpur,Saltha,Kaderdi,505,279,4773,194038597,605,6666277,39751197,45,2755000,33,1265000,0,0,14,230000,23,570000,13,380000,22,980000,0,0,6,600000,6,600000,1834,2,26616,48,1,NULL
South,Gopalgonj,Batikamari,Charproshonnadi,5606,279,4910,238995687,351,4041951,60820136,63,3915000,37,1575000,0,0,11,190000,27,695000,18,525000,39,1865000,0,0,7,700000,7,700000,1949,1,39509,41,3,NULL
South,Gopalgonj,Boalmari,Boalmari,474,279,4288,167861849,389,2933177,36252681,45,2012000,31,1000000,0,0,23,370000,27,630000,11,330000,24,1075000,0,0,2,200000,2,200000,1635,5,49894,32,3,NULL
South,Madaripur-1,Madaripur,Madaripur Sadar,563,279,6157,380264540,458,6459762,98548591,136,8421621,36,1830000,3,22186,22,360071,43,955822,22,605751,42,2011258,0,0,27,2681446,27,2681446,2341,2,50240,50,3,NULL
South,Madaripur-1,Rajoir,Rajoir,5611,279,4694,210655366,453,6374403,49228775,50,3125000,37,1530000,0,0,13,240000,20,465000,8,235000,34,1580000,0,0,6,590000,6,590000,1851,8,229638,44,1,NULL
South,Madaripur-2,Bhanga,Bhanga,523,279,6673,355677226,435,4877217,86506786,91,6120000,61,3060000,0,0,12,200000,27,715000,19,555000,56,2675000,0,0,19,1900000,19,1900000,2539,7,148388,74,3,NULL
South,Madaripur-2,Shibchar,Shibchar,5610,279,5819,289732952,459,4946567,70884944,56,3327000,44,1870000,0,0,10,185000,30,794000,21,619000,38,1830000,0,0,5,500000,5,500000,2204,3,38345,55,3,NULL
South,Patuakhali,Bakergonj,Bakergonj,176,279,3291,133649366,406,4225277,32793853,35,1898555,41,1460000,0,0,7,115000,27,738555,22,643555,31,1430000,0,0,2,200000,2,200000,1510,2,12594,42,1,NULL
South,Patuakhali,Mirzagonj,Betagi,375,279,5358,205553192,592,6195520,44848895,40,1940000,46,1460000,0,0,21,380000,45,1175000,28,835000,20,905000,0,0,4,400000,4,400000,2052,3,62601,58,1,NULL
South,Patuakhali,Mirzagonj,Mirzagonj,376,279,5064,219248663,493,5952165,53756424,65,3324077,46,1775000,0,0,14,237802,41,1061293,28,833491,42,1944061,0,0,6,590000,6,590000,1920,3,48754,53,1,NULL
South,Patuakhali,Patuakhali,Dumki,2274,279,3894,173016445,536,5460567,45712955,46,2585000,27,1220000,0,0,3,60000,15,410000,12,350000,41,1960000,0,0,2,200000,2,200000,1781,2,59273,31,1,NULL
South,Patuakhali,Patuakhali,Patuakhali Sadar,174,279,5219,220103876,665,7198406,56458584,89,5750000,43,1575000,0,0,11,205000,34,900000,24,705000,51,2255000,0,0,12,1180000,12,1180000,2168,2,67981,47,1,NULL
South,Pirojpur,Jhalokathi,Jhalokathi,558,279,7030,292055960,1105,13004501,77112929,79,3953272,89,3491000,1,5000,32,543000,67,1674272,42,1201272,58,2755000,0,0,11,1090000,11,1090000,3022,9,167789,109,1,NULL
South,Pirojpur,Nazirpur,Nazirpur,1487,279,6856,228173407,849,7365482,46166770,73,3095000,40,1255000,1,5000,23,400000,51,1300000,33,950000,40,1775000,0,0,1,100000,1,100000,2552,3,97016,46,1,NULL
South,Pirojpur,Pirojpur,Kawkhali,1272,279,4814,190111307,601,6426718,48276871,58,2840000,35,1172000,0,0,12,212000,29,732000,19,540000,41,1720000,0,0,3,300000,3,300000,2021,13,220260,37,1,NULL
South,Pirojpur,Pirojpur,Pirojpur Sadar,172,279,6165,237852932,885,8681922,63712869,85,4070000,42,1370000,0,0,21,365000,49,1230000,32,905000,44,2010000,0,0,3,300000,3,300000,2717,5,100853,41,1,NULL
South,Pirojpur,Rajapur,Bamna,2273,279,6594,262192386,419,3009804,59447710,90,4651000,38,1195000,0,0,23,400000,39,930000,20,570000,50,2186000,0,0,10,990000,10,990000,2539,3,40344,63,4,NULL
South,Pirojpur,Rajapur,Rajapur,178,279,3842,151814727,408,3881244,42172348,44,2241000,44,1650000,1,5000,12,206000,36,936000,26,750000,35,1650000,0,0,10,1000000,10,1000000,1685,2,15849,53,2,NULL
South West,Bagerhat,Bagerhat,Bagerhat Sadar,214,279,6122,274493902,867,12429926,70585084,97,5288607,63,2204000,1,6448,18,310000,60,1546000,44,1256000,55,2530984,0,0,8,780000,8,780000,2516,7,183986,65,1,NULL
South West,Bagerhat,Kachua,Daibaghati,1486,279,5543,227650000,460,4243005,58407619,96,5460000,56,2420000,0,0,15,260000,34,845000,21,605000,67,2975000,0,0,6,590000,6,590000,2239,5,48942,63,3,NULL
South West,Bagerhat,Kachua,Kachua,5634,279,6521,281180000,696,8036665,68544379,95,5124000,62,2267000,0,0,27,474000,53,1309000,30,875000,56,2532000,0,0,4,400000,4,400000,2563,4,34369,67,1,NULL
South West,Bagerhat,Morolgonj,Saronkhola,3644,279,5911,234042593,526,5547236,59443734,89,4655000,65,2235000,0,0,18,345000,54,1400000,37,1065000,69,3100000,0,0,4,400000,4,400000,2425,8,157370,59,2,NULL
South West,Bagerhat,Rampal,Rampal,3643,279,3510,108411120,509,3861975,28294364,30,1115000,46,1122000,0,0,37,642000,46,982000,14,390000,21,935000,0,0,0,0,0,0,1635,1,23845,44,1,NULL
South West,Chuadanga,Alamdanga,Alamdanga,283,279,5533,222605000,339,3458734,45875964,58,3211000,48,1860000,0,0,19,326000,40,976000,24,680000,30,1390000,0,0,8,780000,8,780000,1956,1,10337,64,3,NULL
South West,Chuadanga,Chuadanga Sadar,Chuadanga Sadar,498,279,4794,185030000,225,1886157,35125903,49,2571000,50,1850000,0,0,14,241000,32,836000,21,625000,39,1685000,0,0,4,400000,4,400000,1595,2,17835,48,3,NULL
South West,Chuadanga,Chuadanga Sadar,Sorajgong,341,279,5829,260239000,220,2915646,58826863,89,5250000,45,1832000,2,10000,23,360000,31,725000,15,435000,54,2487000,0,0,12,1200000,12,1200000,1966,3,52593,41,4,NULL
South West,Chuadanga,Damurhuda,Damurhuda,526,279,5908,268271259,334,3651473,55147086,82,4519000,54,2082000,0,0,21,365000,44,1041000,25,696000,58,2705000,0,0,3,300000,3,300000,2154,1,18289,62,3,NULL
South West,Chuadanga,Jibonnagar,Jiban Nagar,504,279,6731,253388187,178,2255628,52100855,77,4459000,62,2277000,0,0,24,401000,58,1456000,38,1095000,41,1915000,0,0,5,500000,5,500000,2083,4,95097,68,4,NULL
South West,Jashore,Choramonkhati,Choramonkhati,554,279,4773,202781000,520,4990928,44421682,37,2265000,53,2120000,0,0,15,255000,27,665000,15,440000,36,1715000,0,0,6,600000,6,600000,2000,5,116210,65,1,NULL
South West,Jashore,Choramonkhati,Khajura,1386,279,4922,203920000,933,11472845,49352182,29,1677000,14,590000,0,0,7,122000,15,377000,9,265000,14,610000,0,0,4,400000,4,400000,2162,2,44779,19,1,NULL
South West,Jashore,Chowgacha,Chowgacha,497,279,5120,212300000,431,3528237,48804044,50,2858000,58,2250000,0,0,22,420000,39,903000,17,483000,50,2325000,0,0,5,500000,5,500000,2148,2,10552,58,3,NULL
South West,Jashore,Chowgacha,Salua Bazar,8103,279,5688,250334159,263,2627987,58229974,86,5100000,55,2285000,0,0,25,455000,51,1225000,27,780000,46,2195000,0,0,12,1200000,12,1200000,2202,3,87486,49,4,NULL
South West,Jashore,Jashore,Jashore Sadar,481,279,4662,164761656,449,4713718,36155106,38,2049000,29,852000,0,0,14,234000,27,654000,15,440000,27,1242000,0,0,3,300000,3,300000,2227,3,49999,28,1,NULL
South West,Jashore,Jhikorgacha,Jhikorgacha,404,279,3486,136471000,422,4917767,31463865,35,2152000,30,1150000,0,0,11,191000,19,452000,10,281000,28,1290000,0,0,4,400000,4,400000,1704,1,22255,36,1,NULL
South West,Jashore,Monirampur,Monirampur,459,279,4395,198450496,479,5193119,43386905,43,2150000,31,1077000,0,0,11,205000,29,717000,18,512000,31,1370000,0,0,5,500000,5,500000,1704,2,14933,35,1,NULL
South West,Jashore,Monirampur,Rajgonj,464,279,3534,154467000,287,2307962,37731185,58,3575000,34,1500000,0,0,17,295000,29,710000,16,455000,28,1365000,0,0,8,800000,8,800000,1449,NULL,NULL,38,3,NULL
South West,Jashore,Sharsha,Sharsha,284,279,5644,239312302,836,10633714,51851439,74,3576000,48,1486000,0,0,24,437000,55,1332000,31,895000,51,2380000,0,0,8,800000,8,800000,2280,6,173803,48,1,NULL
South West,Jhenaidha,Dakbanglabazar,Dakbanglabazar,477,279,4020,205238000,136,1793490,43107876,42,3330000,28,1401000,0,0,7,99000,13,321000,9,252000,24,1170000,0,0,13,1300000,13,1300000,1550,2,53634,36,4,NULL
South West,Jhenaidha,Horinakundu,Harinakundo,502,279,4468,204420000,210,2806822,43853052,60,3761000,22,854000,1,6000,12,181000,23,578000,15,437000,25,1108000,0,0,6,600000,6,600000,1385,4,87283,29,3,NULL
South West,Jhenaidha,Jhenaidha,Jhenaidha Sadar,482,279,3911,159272000,404,4478675,35281188,31,1430000,27,1075000,0,0,9,130000,23,580000,17,480000,21,965000,0,0,4,400000,4,400000,1781,5,91980,34,1,NULL
South West,Jhenaidha,Kaligonj,Kaligonj,506,279,4446,186440000,210,2429114,39817761,52,2830000,36,1417000,0,0,19,332000,33,767000,16,455000,32,1520000,0,0,5,500000,5,500000,1864,2,29712,35,3,NULL
South West,Jhenaidha,Kotchandpur,Kotchandpur,476,279,4327,185844618,294,3518677,38223882,32,1644000,40,1617000,0,0,12,177000,21,506000,13,369000,32,1495000,0,0,5,500000,5,500000,1848,5,58799,38,2,NULL
South West,Jhenaidha,Moheshpur,Moheshpur,486,279,4433,196203740,318,3361476,40974535,51,2787000,40,1660000,0,0,14,240000,28,685000,16,465000,36,1672000,0,0,6,600000,6,600000,1842,6,55943,39,3,NULL
South West,Khulna-1,Fultala,Fultala,223,279,2051,70209000,115,1245607,13424247,23,945000,9,270000,0,0,8,150000,20,490000,12,340000,6,265000,0,0,2,190000,2,190000,868,6,50081,12,2,NULL
South West,Khulna-2,Batiaghata,Batiaghata,379,279,7010,267387570,733,6694721,58840438,113,5027000,43,1191000,1,7000,34,586000,67,1661000,39,1135000,61,2635000,0,0,1,100000,1,100000,2783,10,177678,35,1,NULL
South West,Khulna-2,Batiaghata,Dacope,1493,279,4709,176144499,698,7428796,47336853,106,4953000,29,865000,0,0,17,290000,46,1200000,33,950000,56,2500000,0,0,5,500000,5,500000,1942,3,47847,30,1,NULL
South West,Khulna-2,Dumuria,Dumuria,222,279,7350,289046000,982,9639354,61533582,65,2997000,80,2821000,1,7000,33,576000,70,1731000,42,1205000,43,1950000,0,0,6,600000,6,600000,2791,2,26983,98,1,NULL
South West,Khulna-2,Paikgacha,Paikgacha,349,279,7885,278534000,1062,9728134,61771804,109,4960000,31,895000,0,0,22,400000,63,1580000,42,1190000,48,2165000,0,0,7,700000,7,700000,3320,10,290898,38,1,NULL
South West,Khulna-2,Tala,Tala,207,279,5288,183479000,624,4815318,41943245,55,2262000,41,1185000,1,5000,34,595000,55,1325000,28,800000,16,702000,0,0,6,600000,6,600000,2156,4,53767,54,1,NULL
South West,Magura,Hatfazilpur,Hatgopalpur,339,279,4621,183436000,342,4138112,45778015,65,4430000,41,1332000,0,0,21,325000,28,672000,15,427000,34,1495000,0,0,15,1500000,15,1500000,1910,3,57665,45,2,NULL
South West,Magura,Magura,Magura Sadar,485,279,3659,140179809,212,1700312,32681591,66,3227021,39,1191000,4,26628,28,439297,40,891393,18,512096,31,1445000,0,0,2,200000,2,200000,1681,2,16387,40,4,NULL
South West,Magura,Shalikha,Shalikha,181,279,3928,164028000,343,3991012,37667907,72,3805000,22,795000,1,8000,22,372000,29,672000,12,350000,32,1520000,0,0,4,400000,4,400000,1606,NULL,NULL,27,1,NULL
South West,Magura,Sreepur,Sreepur,568,279,3131,129393000,219,3464790,31894274,38,1749000,53,2020000,1,5000,25,408000,33,741000,14,393000,34,1630000,0,0,2,200000,2,200000,1500,3,46031,58,2,NULL
South West,Meherpur,Bamundi,Bamundi,1280,279,3877,169411000,184,2290595,40117472,54,3422000,62,2635000,0,0,20,337000,38,917000,22,620000,37,1750000,0,0,9,900000,9,900000,1537,2,38853,72,3,NULL
South West,Meherpur,Gangni,Gangni,180,279,6348,286494000,474,7087824,68801161,78,4678000,79,3563000,0,0,23,379000,49,1224000,31,895000,54,2400000,0,0,13,1300000,13,1300000,2467,4,107604,85,2,NULL
South West,Meherpur,Meherpur,Maherpur-1,179,279,5275,214688000,412,4283033,54593377,76,4190000,88,3737000,0,0,14,245000,44,1132000,31,897000,71,3340000,0,0,3,300000,3,300000,2304,4,54520,84,3,NULL
South West,Meherpur,Mojib Nagar,Mojib Nagar,1279,279,5894,244414000,215,1798604,49866272,68,4165000,43,2033000,0,0,21,323000,32,743000,16,470000,35,1635000,0,0,15,1500000,15,1500000,1849,2,31260,60,4,NULL
South West,Narail,Avaynagar,Avaynagor,285,279,2397,85725000,265,2989544,19930477,24,1210000,32,1245000,0,0,10,175000,20,515000,12,360000,25,1115000,0,0,1,100000,1,100000,1176,3,77034,33,1,NULL
South West,Narail,Bagarpara,Bagarpara,286,279,4207,152956000,272,3331412,31742093,52,3060000,27,990000,0,0,16,204000,25,587000,17,463000,22,988000,0,0,7,665000,7,665000,1770,1,22907,25,2,NULL
South West,Narail,Kalia,Kalia,5631,279,5675,218677352,220,2071927,51304001,70,3105000,76,3010000,0,0,34,605000,55,1310000,26,755000,58,2705000,0,0,6,590000,6,590000,2153,1,392,78,4,NULL
South West,Narail,Narail Sadar,Narail Sadar,209,279,4259,159435000,208,2119412,28787369,50,2523000,29,1030000,0,0,19,319000,25,580000,11,311000,30,1383000,0,0,5,500000,5,500000,1886,2,8480,34,3,NULL
South West,Rajbari-1,Ahaladipur,Ahaladipur,411,279,4325,216986000,312,4487983,51388335,37,2300000,23,955000,0,0,8,145000,15,350000,7,205000,25,1230000,0,0,2,200000,2,200000,1762,2,33374,37,2,NULL
South West,Rajbari-1,Baharpur,Ramdia,5775,279,4055,185403000,307,4199631,44004039,56,3046000,38,1835000,0,0,19,306000,21,456000,7,200000,37,1715000,0,0,9,890000,9,890000,1553,3,37576,43,2,NULL
South West,Rajbari-1,Rajbari Sadar,Rajbari Sadar-1,463,279,4235,203042000,147,1693590,48692145,59,3641000,38,1650000,1,5000,6,115000,21,540000,15,425000,39,1840000,0,0,7,690000,7,690000,1896,3,83147,41,5,NULL
South West,Rajbari-2,Baliakandi,Baliakandi,471,279,3602,159358000,212,2516728,38829308,54,3060000,37,1735000,0,0,15,275000,33,830000,20,575000,27,1245000,0,0,13,1290000,13,1290000,1450,3,10470,41,3,NULL
South West,Rajbari-2,Kalukhali,Kalukhali,5628,279,4685,203213000,197,1442489,46949733,57,3197000,53,2070000,1,5000,20,317000,35,847000,20,580000,37,1715000,0,0,14,1380000,14,1380000,1737,2,23742,58,5,NULL
South West,Rajbari-2,Mrigee,Mrigee Bazar,5629,279,2954,113106000,268,3046403,23469410,31,1530000,28,965000,0,0,14,220000,25,625000,15,445000,19,900000,0,0,3,300000,3,300000,1234,1,2381,50,1,NULL
South West,Rajbari-2,Pangsha,Pangsha-1,5627,279,6441,323275977,554,8213373,75713083,72,4635000,56,2330000,0,0,18,340000,38,935000,21,605000,45,2060000,0,0,9,900000,9,900000,2402,11,216774,67,1,NULL
South West,Satkhira,Asasuni,Asasuni,1305,279,4348,156350754,581,4796656,36083237,70,3430000,41,1220000,0,0,18,315000,49,1285000,35,1010000,39,1750000,0,0,6,600000,6,600000,1822,7,56152,47,1,NULL
South West,Satkhira,Kaligonj,Kaligonj,381,279,6224,234842209,453,5385866,52549108,105,5657502,77,2585000,0,0,32,548078,72,1828078,46,1340000,65,2920881,0,0,12,1180000,12,1180000,2427,4,35617,89,2,NULL
South West,Satkhira,Kolaroa,Kolaroa,419,279,5058,231138000,545,7277755,50179501,63,3777000,38,1511000,0,0,14,230000,23,525000,11,315000,42,1958000,0,0,7,700000,7,700000,2058,5,195346,45,1,NULL
South West,Satkhira,Satkhira Sadar,Sathkhira Sadar,450,279,6547,264741297,186,1712093,63083811,127,6407000,68,2355000,0,0,38,637000,58,1377000,28,820000,81,3765000,0,0,6,590000,6,590000,2525,2,17986,79,5,NULL
South West,Satkhira,Shyamnagar,Shyamnagar,1488,279,7431,305531161,305,3552043,73853145,145,7015792,71,1991000,1,5792,52,870000,90,2206000,50,1456000,65,2900000,0,0,11,1100000,11,1100000,2935,6,91384,78,4,NULL
West,C.N. Gonj,C.N. Gonj,C.N. Gonj,435,279,5839,260970030,659,8071249,62957052,95,4847000,71,2912000,0,0,24,409000,38,856000,17,477000,87,4118000,0,0,1,100000,1,100000,2450,6,80836,68,1,NULL
West,C.N. Gonj,Gomostapur,Gomostapur-1,5641,279,5477,252868000,751,10468454,61080972,57,3270000,63,2502000,0,0,20,347000,45,1132000,28,815000,37,1770000,0,0,8,800000,8,800000,2357,10,246422,62,1,NULL
West,C.N. Gonj,Nachole,Nachole,5642,279,4103,173056000,254,3287991,39245150,84,4119000,37,1390000,0,0,23,372000,41,994000,24,682000,38,1800000,0,0,3,300000,3,300000,1655,3,58713,35,2,NULL
West,C.N. Gonj,Shibgonj,Shibgonj Sadar,567,279,5423,259004367,341,4212655,57934067,84,4716000,51,1799000,0,0,22,363000,51,1295000,33,972000,48,2200000,0,0,9,900000,9,900000,2130,2,20130,67,3,NULL
West,Kushtia-1,Bittipara,Bittipara,473,279,3271,124633000,228,1629459,26209762,51,2372000,29,1050000,0,0,19,312000,25,577000,11,315000,34,1570000,0,0,5,500000,5,500000,1373,2,15289,31,3,NULL
West,Kushtia-1,Garagonj,Garagonj,539,279,3604,153299202,206,2497335,37750481,53,3295000,29,1050000,0,0,18,298000,28,643000,13,375000,22,997000,0,0,9,900000,9,900000,1675,2,27127,40,3,NULL
West,Kushtia-1,Garagonj,Shailkupa,1238,279,4517,178973440,155,2074234,44328460,86,4707293,40,1780000,0,0,14,209000,34,887293,25,728293,48,2225000,0,0,5,500000,5,500000,1788,1,29167,48,4,NULL
West,Kushtia-1,Kushtia Sadar,Kustia Sadar,483,279,3839,150873287,319,3661727,34736220,44,2375000,45,1491000,0,0,14,225000,36,936000,25,741000,34,1570000,0,0,5,490000,5,490000,1764,3,48238,42,2,NULL
West,Kushtia-2,Bheramara,Bheramara-1,571,279,4060,163120000,195,2749669,34177069,47,2356000,26,1025000,0,0,13,221000,31,786000,20,585000,16,725000,0,0,6,595000,6,595000,1590,1,6464,31,3,NULL
West,Kushtia-2,Mirpur,Halsha,1155,279,4611,205540031,244,3459348,44886001,82,4820000,40,1282000,0,0,27,437000,42,1002000,22,635000,30,1415000,0,0,11,1100000,11,1100000,1564,6,118151,46,3,NULL
West,Kushtia-2,Mirpur,Mirpur,281,279,4363,172669000,472,6716732,38366383,50,2265000,41,1447000,0,0,21,332000,40,977000,25,705000,26,1165000,0,0,3,300000,3,300000,1796,4,154696,41,1,NULL
West,Natore,Baraigram,Baraigram,2478,279,4526,184101000,248,3307487,44544900,71,3370000,39,1310000,0,0,29,465000,41,950000,20,565000,36,1620000,0,0,5,490000,5,490000,1722,5,76727,38,3,NULL
West,Natore,Bonpara,Bonpara,454,279,3607,139307783,213,2865628,31655600,33,1868000,25,1100000,0,0,6,106000,15,388000,10,292000,26,1235000,0,0,4,400000,4,400000,1432,1,5364,35,2,NULL
West,Natore,Gurudaspur,Gurudaspur,279,279,4563,172968000,299,2939378,36482494,83,3489000,24,830000,2,12000,22,330000,35,832000,20,572000,46,2055000,0,0,5,500000,5,500000,1673,NULL,NULL,23,3,NULL
West,Natore,Natore Sadar,Natore,461,279,4316,184411525,260,2841305,45892655,71,4204000,53,1770000,0,0,30,492000,46,1039000,21,597000,45,2055000,0,0,4,400000,4,400000,1973,1,24283,81,3,NULL
West,Natore,Singra,Singra,278,279,5417,222873005,277,2983199,48039015,85,3773000,40,1395000,0,0,27,433000,48,1148000,27,775000,47,2160000,0,0,2,200000,2,200000,2096,3,80543,52,3,NULL
West,Pabna-1,Dasuria,Dashuria,499,279,3768,190445000,497,8409782,46130468,45,2948000,26,1215000,0,0,7,123000,17,438000,11,325000,20,920000,0,0,5,490000,5,490000,1690,1,16065,11,1,NULL
West,Pabna-1,Pabna Sadar,Pabna Sadar,408,279,4622,224771863,211,2421330,48060672,60,4020000,51,2572000,0,0,13,202000,30,777000,21,615000,33,1545000,0,0,12,1190000,12,1190000,1825,NULL,NULL,58,4,NULL
West,Pabna-1,Sujanagar,Sujanagar,280,279,6083,270198173,384,4241013,64463034,93,4541702,52,1867000,0,0,28,441000,50,1247702,32,906702,49,2285000,0,0,7,700000,7,700000,2213,2,33454,48,3,NULL
West,Pabna-2,Ataikula,Ataikula,492,279,4771,229169429,128,1629351,52709993,103,5889000,26,822000,0,0,29,466000,45,1061000,22,655000,31,1370000,0,0,14,1380000,14,1380000,1689,NULL,NULL,33,5,NULL
West,Pabna-2,Kashinathpur,Kashinathpur,472,279,4103,166977418,399,4623402,41610925,61,3240322,42,1600000,1,9693,19,314834,36,889834,21,615000,34,1650795,0,0,6,600000,6,600000,1719,5,73323,47,1,NULL
West,Pabna-2,Santhia,Santhia,465,279,3677,145830077,191,2437065,38321766,70,3455000,31,1220000,0,0,16,285000,37,950000,23,685000,31,1373000,0,0,3,300000,3,300000,1511,1,12479,41,3,NULL
West,Pabna-3,Atghoria,Atghoria,451,279,5252,338943000,174,3749672,71059491,102,8190000,38,1768000,3,15000,22,343000,32,713000,15,420000,41,1870000,0,0,23,2260000,23,2260000,1828,1,30878,48,3,NULL
West,Pabna-3,Bhangura,Bhangura,371,279,4780,249808000,243,3049523,53193615,80,4565000,51,2000000,0,0,19,275000,34,905000,25,730000,56,2585000,0,0,8,800000,8,800000,1845,3,34933,56,3,NULL
West,Pabna-3,Chatmohar,Chatmohar,401,279,6475,332636171,591,11015099,77869005,101,6422000,53,2125000,0,0,18,320000,40,990000,24,690000,65,3047000,0,0,9,900000,9,900000,2468,10,219412,55,1,NULL
West,Pabna-3,Faridpur (Pabna),Faridpur,370,279,4826,259225846,256,3304397,58835938,78,5470000,26,935000,0,0,12,200000,30,785000,21,615000,29,1305000,0,0,9,870000,9,870000,1785,1,39607,34,3,NULL
West,Rajshahi-1,Mohanpur,Mohonpur,536,279,5016,220898712,413,5378415,56195212,76,3805000,48,1721000,0,0,18,291000,46,1146000,31,885000,45,2005000,0,0,4,390000,4,390000,1993,4,68570,57,2,NULL
West,Rajshahi-1,Poba,Poba,516,279,3687,149850697,183,2268079,35597554,37,1580000,38,1230000,0,0,19,340000,36,865000,19,545000,29,1355000,0,0,1,100000,1,100000,1510,1,27621,40,3,NULL
